Data,BRZEG DOLNY (151160170) Stan wody [cm],G£OGÓW (151160060) Stan wody [cm],OSETNO (151160140) Stan wody [cm],TRESTNO (151170030) Stan wody [cm],BRZEG DOLNY (251160230) Suma opadów [mm],OSETNO (251160110) Suma opadów [mm],£ANY (251170420) Suma opadów [mm],BRZEG DOLNY (251160230) Brak pomiaru,OSETNO (251160110) Brak pomiaru,£ANY (251170420) Brak pomiaru
2017-11-01,286,354,276,334,,0.7,,0.0,0.0,0.0
2017-11-02,285,358,281,337,,10.0,,0.0,0.0,0.0
2017-11-03,258,353,288,336,,0.1,,0.0,0.0,0.0
2017-11-04,218,352,296,333,,0.0,,0.0,0.0,0.0
2017-11-05,244,326,304,333,,0.6,,0.0,0.0,0.0
2017-11-06,224,330,310,328,,1.5,,0.0,0.0,0.0
2017-11-07,210,328,316,324,,0.1,,0.0,0.0,0.0
2017-11-08,196,319,319,320,,0.0,,0.0,0.0,0.0
2017-11-09,191,312,320,320,,0.0,,0.0,0.0,0.0
2017-11-10,191,310,319,317,,1.6,,0.0,0.0,0.0
2017-11-11,187,303,317,319,,3.5,,0.0,0.0,0.0
2017-11-12,204,305,315,322,,4.4,,0.0,0.0,0.0
2017-11-13,206,305,313,323,,0.1,,0.0,0.0,0.0
2017-11-14,218,311,310,328,,0.0,,0.0,0.0,0.0
2017-11-15,245,315,308,330,,0.7,,0.0,0.0,0.0
2017-11-16,231,332,306,325,,0.1,,0.0,0.0,0.0
2017-11-17,196,327,304,320,,0.6,,0.0,0.0,0.0
2017-11-18,224,316,301,319,,0.1,,0.0,0.0,0.0
2017-11-19,184,318,297,320,,3.0,,0.0,0.0,0.0
2017-11-20,209,303,293,320,,2.7,,0.0,0.0,0.0
2017-11-21,206,309,289,320,,4.4,,0.0,0.0,0.0
2017-11-22,206,312,286,325,,1.2,,0.0,0.0,0.0
2017-11-23,231,312,285,331,,0.1,,0.0,0.0,0.0
2017-11-24,239,318,284,332,,2.0,,0.0,0.0,0.0
2017-11-25,176,339,285,330,,2.6,,0.0,0.0,0.0
2017-11-26,210,303,286,327,,0.2,,0.0,0.0,0.0
2017-11-27,207,309,286,324,,0.0,,0.0,0.0,0.0
2017-11-28,194,311,284,322,,1.4,,0.0,0.0,0.0
2017-11-29,196,307,282,322,,0.1,,0.0,0.0,0.0
2017-11-30,207,306,279,322,,0.9,,0.0,0.0,0.0
2017-12-01,202,303,276,326,,2.0,,0.0,0.0,0.0
2017-12-02,225,306,272,329,,1.0,,0.0,0.0,0.0
2017-12-03,225,316,267,326,,0.3,,0.0,0.0,0.0
2017-12-04,233,318,263,322,,2.4,,0.0,0.0,0.0
2017-12-05,216,319,261,324,,2.0,,0.0,0.0,0.0
2017-12-06,207,324,259,324,,0.1,,0.0,0.0,0.0
2017-12-07,187,309,259,330,,0.0,,0.0,0.0,0.0
2017-12-08,265,304,260,334,,0.1,,0.0,0.0,0.0
2017-12-09,241,321,260,331,,0.7,,0.0,0.0,0.0
2017-12-10,269,333,261,334,,0.9,,0.0,0.0,0.0
2017-12-11,276,339,260,332,,0.2,,0.0,0.0,0.0
2017-12-12,232,344,259,327,,0.0,,0.0,0.0,0.0
2017-12-13,208,341,255,320,,1.4,,0.0,0.0,0.0
2017-12-14,256,307,251,322,,4.1,,0.0,0.0,0.0
2017-12-15,247,330,248,322,,6.9,,0.0,0.0,0.0
2017-12-16,238,331,250,320,,0.4,,0.0,0.0,0.0
2017-12-17,191,328,256,315,,0.5,,0.0,0.0,0.0
2017-12-18,215,312,263,316,,0.0,,0.0,0.0,0.0
2017-12-19,232,309,267,316,,0.4,,0.0,0.0,0.0
2017-12-20,199,314,270,314,,1.0,,0.0,0.0,0.0
2017-12-21,195,317,271,314,,3.2,,0.0,0.0,0.0
2017-12-22,180,304,271,317,,0.8,,0.0,0.0,0.0
2017-12-23,194,302,271,320,,0.1,,0.0,0.0,0.0
2017-12-24,188,301,272,320,,0.1,,0.0,0.0,0.0
2017-12-25,194,301,275,319,,0.0,,0.0,0.0,0.0
2017-12-26,187,301,276,319,,0.0,,0.0,0.0,0.0
2017-12-27,188,301,276,320,,3.0,,0.0,0.0,0.0
2017-12-28,181,302,276,320,,9.8,,0.0,0.0,0.0
2017-12-29,192,296,277,319,,0.0,,0.0,0.0,0.0
2017-12-30,190,306,278,319,,2.1,,0.0,0.0,0.0
2017-12-31,196,305,280,321,,1.9,,0.0,0.0,0.0
2018-01-01,194,305,281,320,,0.1,,0.0,0.0,0.0
2018-01-02,210,309,283,324,,3.0,,0.0,0.0,0.0
2018-01-03,215,309,285,323,,8.8,,0.0,0.0,0.0
2018-01-04,208,324,289,321,,0.4,,0.0,0.0,0.0
2018-01-05,210,320,293,323,,0.0,,0.0,0.0,0.0
2018-01-06,215,321,296,322,,1.6,,0.0,0.0,0.0
2018-01-07,196,323,300,320,,1.2,,0.0,0.0,0.0
2018-01-08,238,317,302,322,,0.1,,0.0,0.0,0.0
2018-01-09,214,324,301,318,,0.0,,0.0,0.0,0.0
2018-01-10,195,331,298,317,,16.3,,0.0,0.0,0.0
2018-01-11,193,317,297,321,,0.2,,0.0,0.0,0.0
2018-01-12,274,320,295,333,,0.0,,0.0,0.0,0.0
2018-01-13,285,343,293,334,,0.0,,0.0,0.0,0.0
2018-01-14,286,369,292,333,,0.0,,0.0,0.0,0.0
2018-01-15,255,367,289,327,,0.0,,0.0,0.0,0.0
2018-01-16,248,356,285,325,,1.7,,0.0,0.0,0.0
2018-01-17,241,344,278,320,,1.8,,0.0,0.0,0.0
2018-01-18,215,342,272,316,,6.9,,0.0,0.0,0.0
2018-01-19,230,332,268,320,,0.0,,0.0,0.0,0.0
2018-01-20,223,329,271,319,,1.1,,0.0,0.0,0.0
2018-01-21,218,331,274,317,,0.0,,0.0,0.0,0.0
2018-01-22,212,329,278,316,,0.0,,0.0,0.0,0.0
2018-01-23,208,323,279,316,,0.3,,0.0,0.0,0.0
2018-01-24,199,321,276,316,,0.1,,0.0,0.0,0.0
2018-01-25,188,316,272,315,,0.0,,0.0,0.0,0.0
2018-01-26,185,310,269,316,,1.1,,0.0,0.0,0.0
2018-01-27,190,304,271,318,,1.2,,0.0,0.0,0.0
2018-01-28,193,304,275,318,,0.2,,0.0,0.0,0.0
2018-01-29,189,309,280,318,,2.1,,0.0,0.0,0.0
2018-01-30,193,306,284,318,,0.1,,0.0,0.0,0.0
2018-01-31,189,308,287,318,,3.6,,0.0,0.0,0.0
2018-02-01,203,310,289,321,,1.2,,0.0,0.0,0.0
2018-02-02,198,311,291,321,,0.0,,0.0,0.0,0.0
2018-02-03,203,316,291,320,,0.2,,0.0,0.0,0.0
2018-02-04,224,315,291,324,,0.2,,0.0,0.0,0.0
2018-02-05,234,320,288,321,,0.0,,0.0,0.0,0.0
2018-02-06,185,327,284,323,,0.0,,0.0,0.0,0.0
2018-02-07,198,317,277,320,,0.0,,0.0,0.0,0.0
2018-02-08,180,305,268,321,,0.0,,0.0,0.0,0.0
2018-02-09,166,302,258,320,,0.0,,0.0,0.0,0.0
2018-02-10,187,297,248,319,,0.0,,0.0,0.0,0.0
2018-02-11,179,294,240,317,,0.4,,0.0,0.0,0.0
2018-02-12,180,288,235,317,,0.3,,0.0,0.0,0.0
2018-02-13,191,295,232,317,,0.0,,0.0,0.0,0.0
2018-02-14,154,290,228,316,,0.0,,0.0,0.0,0.0
2018-02-15,174,289,224,316,,0.1,,0.0,0.0,0.0
2018-02-16,195,273,221,318,,0.0,,0.0,0.0,0.0
2018-02-17,150,293,219,317,,0.0,,0.0,0.0,0.0
2018-02-18,185,275,218,317,,0.0,,0.0,0.0,0.0
2018-02-19,176,276,217,316,,0.0,,0.0,0.0,0.0
2018-02-20,132,288,215,314,,0.0,,0.0,0.0,0.0
2018-02-21,164,272,211,313,,0.0,,0.0,0.0,0.0
2018-02-22,148,259,207,313,,0.0,,0.0,0.0,0.0
2018-02-23,135,271,203,314,,0.2,,0.0,0.0,0.0
2018-02-24,154,262,198,314,,0.0,,0.0,0.0,0.0
2018-02-25,144,251,192,312,,0.0,,0.0,0.0,0.0
2018-02-26,136,247,186,310,,0.0,,0.0,0.0,0.0
2018-02-27,117,257,179,306,,0.0,,0.0,0.0,0.0
2018-02-28,95,245,173,312,,0.0,,0.0,0.0,0.0
2018-03-01,125,217,172,315,,0.0,,0.0,0.0,0.0
2018-03-02,88,224,170,318,,0.0,,0.0,0.0,0.0
2018-03-03,134,226,167,319,,0.0,,0.0,0.0,0.0
2018-03-04,118,220,165,318,,0.0,,0.0,0.0,0.0
2018-03-05,131,223,162,319,,0.0,,0.0,0.0,0.0
2018-03-06,134,238,160,321,,9.3,,0.0,0.0,0.0
2018-03-07,136,232,161,321,,1.6,,0.0,0.0,0.0
2018-03-08,140,240,164,320,,0.3,,0.0,0.0,0.0
2018-03-09,147,243,167,320,,0.0,,0.0,0.0,0.0
2018-03-10,150,245,168,321,,0.1,,0.0,0.0,0.0
2018-03-11,175,254,171,323,,0.0,,0.0,0.0,0.0
2018-03-12,163,255,176,321,,4.5,,0.0,0.0,0.0
2018-03-13,179,270,184,320,,0.3,,0.0,0.0,0.0
2018-03-14,142,269,198,320,,1.0,,0.0,0.0,0.0
2018-03-15,192,273,207,319,,0.1,,0.0,0.0,0.0
2018-03-16,168,282,214,321,,8.6,,0.0,0.0,0.0
2018-03-17,183,274,218,321,,0.1,,0.0,0.0,0.0
2018-03-18,221,283,213,325,,0.0,,0.0,0.0,0.0
2018-03-19,210,292,207,324,,0.0,,0.0,0.0,0.0
2018-03-20,183,305,208,318,,0.1,,0.0,0.0,0.0
2018-03-21,156,294,208,316,,0.0,,0.0,0.0,0.0
2018-03-22,169,285,209,315,,0.6,,0.0,0.0,0.0
2018-03-23,175,275,211,316,,0.0,,0.0,0.0,0.0
2018-03-24,177,277,216,316,,0.0,,0.0,0.0,0.0
2018-03-25,162,282,221,316,,0.0,,0.0,0.0,0.0
2018-03-26,155,275,223,314,,0.3,,0.0,0.0,0.0
2018-03-27,155,281,222,316,,0.1,,0.0,0.0,0.0
2018-03-28,151,270,222,321,,5.6,,0.0,0.0,0.0
2018-03-29,148,270,223,320,,0.1,,0.0,0.0,0.0
2018-03-30,156,268,226,319,,0.0,,0.0,0.0,0.0
2018-03-31,153,266,229,318,,1.1,,0.0,0.0,0.0
2018-04-01,168,266,229,320,,0.6,,0.0,0.0,0.0
2018-04-02,161,275,241,319,,0.0,,0.0,0.0,0.0
2018-04-03,167,277,256,321,,0.0,,0.0,0.0,0.0
2018-04-04,171,284,265,320,,0.0,,0.0,0.0,0.0
2018-04-05,161,288,266,319,,3.8,,0.0,0.0,0.0
2018-04-06,149,286,262,319,,0.1,,0.0,0.0,0.0
2018-04-07,156,279,253,319,,0.0,,0.0,0.0,0.0
2018-04-08,150,273,240,318,,0.8,,0.0,0.0,0.0
2018-04-09,155,264,227,317,,0.0,,0.0,0.0,0.0
2018-04-10,152,270,217,317,,0.0,,0.0,0.0,0.0
2018-04-11,108,269,210,318,,0.0,,0.0,0.0,0.0
2018-04-12,173,243,205,319,,0.0,,0.0,0.0,0.0
2018-04-13,127,259,197,320,,0.6,,0.0,0.0,0.0
2018-04-14,131,252,191,319,,0.0,,0.0,0.0,0.0
2018-04-15,146,255,187,322,,1.3,,0.0,0.0,0.0
2018-04-16,205,248,184,324,,1.3,,0.0,0.0,0.0
2018-04-17,76,263,182,316,,0.0,,0.0,0.0,0.0
2018-04-18,173,255,179,318,,0.0,,0.0,0.0,0.0
2018-04-19,116,237,177,316,,0.0,,0.0,0.0,0.0
2018-04-20,89,246,175,318,,0.0,,0.0,0.0,0.0
2018-04-21,85,221,171,320,,0.0,,0.0,0.0,0.0
2018-04-22,141,202,167,324,,4.5,,0.0,0.0,0.0
2018-04-23,125,218,165,326,,0.0,,0.0,0.0,0.0
2018-04-24,147,232,165,323,,0.0,,0.0,0.0,0.0
2018-04-25,136,232,167,320,,0.0,,0.0,0.0,0.0
