Data,GŁOGÓW (151160060) Stan wody [cm],RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Model,Zmienne
2021-11-01,209.0,121.0,Baseline,
2021-11-02,209.0,121.0,Baseline,
2021-11-03,209.0,121.0,Baseline,
2021-11-04,209.0,121.0,Baseline,
2021-11-05,209.0,121.0,Baseline,
2021-11-06,209.0,121.0,Baseline,
2021-11-07,209.0,121.0,Baseline,
2021-11-08,209.0,121.0,Baseline,
2021-11-09,209.0,121.0,Baseline,
2021-11-10,209.0,121.0,Baseline,
2021-11-11,209.0,121.0,Baseline,
2021-11-12,209.0,121.0,Baseline,
2021-11-13,209.0,121.0,Baseline,
2021-11-14,209.0,121.0,Baseline,
2021-11-15,209.0,121.0,Baseline,
2021-11-16,209.0,121.0,Baseline,
2021-11-17,209.0,121.0,Baseline,
2021-11-18,209.0,121.0,Baseline,
2021-11-19,209.0,121.0,Baseline,
2021-11-20,209.0,121.0,Baseline,
2021-11-21,209.0,121.0,Baseline,
2021-11-22,209.0,121.0,Baseline,
2021-11-23,209.0,121.0,Baseline,
2021-11-24,209.0,121.0,Baseline,
2021-11-25,209.0,121.0,Baseline,
2021-11-26,209.0,121.0,Baseline,
2021-11-27,209.0,121.0,Baseline,
2021-11-28,209.0,121.0,Baseline,
2021-11-29,209.0,121.0,Baseline,
2021-11-30,209.0,121.0,Baseline,
