horizon,Model,Stacja,Zmienne,MAPE,BIAS
Forecast_-1D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.023273849443231402,0.29338842975206614
Forecast_-2D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.03549955945099959,0.628099173553719
Forecast_-3D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.042007327107189116,0.9710743801652892
Forecast_-4D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.05188011077330676,1.4049586776859504
Forecast_-5D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.062913185383502,2.0991735537190084
Forecast_-6D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.07554965660617845,2.8264462809917354
Forecast_-7D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.08681929769376165,3.309917355371901
Forecast_-8D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.09093654201358331,3.5041322314049586
Forecast_-9D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.09579641280629264,3.62396694214876
Forecast_-10D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.10131607247433189,3.6611570247933884
Forecast_-11D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.10396486389152983,3.6487603305785123
Forecast_-12D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.10737499744246225,3.652892561983471
Forecast_-13D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.10871537535414848,3.6074380165289255
Forecast_-14D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.11011551052487503,3.5082644628099175
Forecast_-15D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.11440155341680917,3.347107438016529
Forecast_-16D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.11803961991664556,3.1322314049586777
Forecast_-17D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.12100690978642423,3.0
Forecast_-18D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.12578631768098836,2.8264462809917354
Forecast_-19D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.13249266874337812,2.65702479338843
Forecast_-20D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.13789319349054788,2.5578512396694215
Forecast_-21D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.1426904040102105,2.5330578512396693
Forecast_-22D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.1474556794774773,2.3388429752066116
Forecast_-23D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.15548171312332887,2.2107438016528924
Forecast_-24D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.1638636228365751,2.2148760330578514
Forecast_-25D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.1725468276232627,2.2479338842975207
Forecast_-26D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.17848153030832842,2.293388429752066
Forecast_-27D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.18307251583140777,2.347107438016529
Forecast_-28D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.18617156790283126,2.37603305785124
Forecast_-29D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.18866843436988986,2.4049586776859506
Forecast_-30D,Baseline,GŁOGÓW (151160060) Stan wody [cm],,0.1895964018353875,2.4628099173553717
Forecast_-1D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.027896931645364262,0.3571522916391494
Forecast_-2D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.04361221138778151,0.7417778364813102
Forecast_-3D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.05603851291392495,1.1813498877294941
Forecast_-4D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.06473405583379623,1.675868445383701
Forecast_-5D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.06627229296995288,2.2802800158499537
Forecast_-6D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.08223615747517152,3.1113459252410514
Forecast_-7D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.10169264075840348,4.3545106326773215
Forecast_-8D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.14669982193048575,6.840840047549861
Forecast_-9D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.1909173010010382,9.402720908730682
Forecast_-10D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.19720855318360467,9.924712719587902
Forecast_-11D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.20089298900319452,10.226918504821027
Forecast_-12D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.20390411707120618,10.371153084136838
Forecast_-13D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.20863243857959587,10.460441157046626
Forecast_-14D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.21139740005298305,10.611544049663188
Forecast_-15D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.21017612572483765,10.645885616166954
Forecast_-16D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.20550080617291655,10.693963809272223
Forecast_-17D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.20819771574211193,10.680227182670718
