id_meteo,name_meteo,id_hydro,name_hydro,the_same_location
251160360,GŁOGÓW,151160060,GŁOGÓW,1
249180550,CIESZYN,149180060,CIESZYN,1
249180550,CIESZYN,149180070,CIESZYN,1
249180550,CIESZYN,149180030,ŁAZISKA,0
249180550,CIESZYN,149180020,CHAŁUPKI,0
350180540,RACIBÓRZ,149180300,OLZA,0
350180540,RACIBÓRZ,149180010,KRZYŻANOWICE,1
350180540,RACIBÓRZ,150180040,BOJANÓW,1
350180540,RACIBÓRZ,150180060,RACIBÓRZ-MIEDONIA,1
250180590,RYBNIK-STODOŁY,150180280,RYBNIK-GOTARTOWICE,1
250180590,RYBNIK-STODOŁY,150180130,RYBNIK-STODOŁY,1
250180590,RYBNIK-STODOŁY,150180110,RUDA KOZIELSKA,1
250180330,ŁABĘDY,150180220,GLIWICE,1
250180330,ŁABĘDY,150180160,PYSKOWICE-DZIERŻNO,1
250180330,ŁABĘDY,150180170,PYSKOWICE,1
250180330,SUKOWICE,150180080,GRABÓWKA,1
250180620,KĘDZIERZYN-KOŹLE,150180070,LENARTOWICE,1
250180620,KĘDZIERZYN-KOŹLE,150180030,KOŹLE,1
250180620,KĘDZIERZYN-KOŹLE,150180010,KAMIONKA,1
250170390,GŁUBCZYCE,150170170,BRANICE,1
250170540,RACŁAWICE ŚLĄSKIE,150170180,RACŁAWICE-ŚLĄSKIE,1
250170530,PRUDNIK,150170100,PRUDNIK,1
250170340,JARNOŁTÓWEK,150170080,JARNOŁTÓWEK,1
250170330,GŁUCHOŁAZY,150170070,GŁUCHOŁAZY,1
250180230,LIGOTA GÓRNA,150170240,KRAPKOWICE,1
250170280,ZIELINA,150170220,DOBRA,1
350170530,OPOLE,150170290,OPOLE-GROSZOWICE,1
350170530,OPOLE,150180050,OZIMEK,1
250180190,KRUPSKI MŁYN,150180190,KRUPSKI MŁYN,1
350170530,OPOLE,150180020,TURAWA,1
250170050,BRZEG,150170140,SKOROGOSZCZ,0
250170050,BRZEG,150170130,UJŚCIE NYSY KŁODZKIEJ,1
250170760,GOŚCIEJOWICE,150170120,NIEMODLIN,1
250170050,BRZEG,150170150,KARŁOWICE,1
250180030,STARE OLESNO,150170200,DOMARADZ,0
250170050,BRZEG,150170090,BRZEG,1
251170320,JELCZ-LASKOWICE,150170030,OŁAWA,1
251170320,JELCZ-LASKOWICE,150170040,OŁAWA,1
251170420,ŁANY,151170030,TRESTNO,1
251170270,BIERUTÓW,151170050,ZBYTOWA,1
251170290,NAMYSŁÓW,151170090,NAMYSŁÓW,1
351160420,WROCŁAW-STRACHOWICE,151170010,KRZYŻANOWICE,0
351160420,WROCŁAW-STRACHOWICE,151160230,ŚLĘZA,1
351160420,WROCŁAW-STRACHOWICE,151160190,JARNOŁTÓW,1
251160310,KĄTY WROCŁAWSKIE,151160180,BOGDASZOWICE,1
251160310,KĄTY WROCŁAWSKIE,150160290,GNIECHOWICE,1
251160310,KĄTY WROCŁAWSKIE,150160160,MIETKÓW,1
250160090,PSZENNO,150160120,KRASKÓW,1
250160260,DZIERŻONIÓW,150160130,MOŚCISKO,1
250160260,DZIERŻONIÓW,150160140,DZIERŻONIÓW,1
250160170,LUBACHÓW,150160070,LUBACHÓW,1
250160270,WALIM,150160060,JUGOWICE,1
250160090,PSZENNO,150160090,ŁAŻANY,1
250160130,SZCZAWNO-ZDRÓJ,150160030,CHWALISZÓW,1
251160230,BRZEG DOLNY,151160170,BRZEG DOLNY,1
251160230,BRZEG DOLNY,151160150,MALCZYCE,1
251160140,RUDNA,151160130,ŚCINAWA,0
251160110,OSETNO,151160140,OSETNO,1
251170390,KSIĘGINICE,151160220,KANCLERZOWICE,0
251170140,MILICZ,151170040,ŁĄKI,1
251170150,GRABOWNICA,151170060,BOGDAJ,1
251170130,ODOLANÓW,151170080,ODOLANÓW,1
251170090,SMOLICE,151160260,KORZEŃSKO,0
351160418,LESZNO,151160160,RYDZYNA,1
351160415,LEGNICA,151160100,PIĄTNICA,1
351160415,LEGNICA,151160080,RZESZOTARY,1
351160415,LEGNICA,151160050,DUNINO,1
351160415,LEGNICA,151160020,RZYMÓWKA,1
251160290,JAWOR,151160070,WINNICA,1
251160290,JAWOR,151160090,JAWOR,1
251150280,TWARDOCICE,151150160,ZAGRODNO,0
351160415,LEGNICA,151150180,CHOJNÓW,0
351160415,LEGNICA,151160040,BUKOWNA,0
250160070,BORÓW,150160280,BORÓW,1
250160070,BORÓW,150160250,BIAŁOBRZEZIE,1
250170730,KOPICE,150170100,KOPICE,1
250170230,NYSA,150170060,NYSA,1
250160410,BARDO,150160270,KAMIENIEC ZĄBKOWICKI,1
250160410,BARDO,150160220,BARDO,1
350160520,KŁODZKO,150160100,GORZUCHÓW,1
350160520,KŁODZKO,150160180,KŁODZKO,1
250160590,DŁUGOPOLE-ZDRÓJ,150160150,BYSTRZYCA KŁODZKA,1
250160590,DŁUGOPOLE-ZDRÓJ,150160170,BYSTRZYCA KŁODZKA,1
250160590,DŁUGOPOLE-ZDRÓJ,150160210,WILKANÓW,1
250160650,MIĘDZYLESIE,150160190,MIĘDZYLESIE,1
250160520,LĄDEK-ZDRÓJ,150160230,LĄDEK-ZDRÓJ,1
350160520,KŁODZKO,150160110,SZALEJÓW DOLNY,0
250160840,SZALEJÓW GÓRNY,150160080,TŁUMACZÓW,0
250160510,OŁDRZYCHOWICE KŁODZKIE,150160200,ŻELAZNO,1
